Game,Year,Winning Team,Score,Losing Team,venue
I, 1967,Green Bay Packers ,35–10,Kansas City Chiefs,Los Angeles Memorial Coliseum
II, 1968,Green Bay Packers ,33–14,Oakland Raiders,Miami Orange Bowl
III, 1969,New York Jets ,16–7,Baltimore Colts,Miami Orange Bowl (2)
IV, 1970,Kansas City Chiefs ,23–7,Minnesota Vikings,Tulane Stadium
V, 1971,Indianapolis Colts ,16–13,Dallas Cowboys,Miami Orange Bowl (3)
VI, 1972,Dallas Cowboys ,24–3,Miami Dolphins,Tulane Stadium (2)
VII, 1973,Miami Dolphins ,14–7,Washington Redskins,Los Angeles Memorial Coliseum (2)
VIII, 1974,Miami Dolphins ,24–7,Minnesota Vikings,Rice Stadium
IX, 1975,Pittsburgh Steelers ,16–6,Minnesota Vikings,Tulane Stadium (3)
X, 1976,Pittsburgh Steelers ,21–17,Dallas Cowboys,Miami Orange Bowl (4)
XI, 1977,Oakland Raiders ,32–14,Minnesota Vikings,Rose Bowl
XII, 1978,Dallas Cowboys ,27–10,Denver Broncos,Louisiana Superdome
XIII, 1979,Pittsburgh Steelers ,35–31,Dallas Cowboys,Miami Orange Bowl (5)
XIV, 1980,Pittsburgh Steelers ,31–19,Los Angeles Rams,Rose Bowl (2)
XV, 1981,Oakland Raiders ,27–10,Philadelphia Eagles,Louisiana Superdome (2)
XVI, 1982,San Francisco 49ers ,26–21,Cincinnati Bengals,Pontiac Silverdome
XVII, 1983,Washington Redskins ,27–17,Miami Dolphins,Rose Bowl (3)
XVIII, 1984,Oakland Raiders ,38–9,Washington Redskins,Tampa Stadium
XIX, 1985,San Francisco 49ers ,38–16,Miami Dolphins,Stanford Stadium
XX, 1986,Chicago Bears ,46–10,New England Patriots,Louisiana Superdome (3)
XXI, 1987,New York Giants ,39–20,Denver Broncos,Rose Bowl (4)
XXII, 1988,Washington Redskins ,42–10,Denver Broncos,San Diego–Jack Murphy Stadium
XXIII, 1989,San Francisco 49ers ,20–16,Cincinnati Bengals,Joe Robbie Stadium
XXIV, 1990,San Francisco 49ers ,55–10,Denver Broncos,Louisiana Superdome (4)
XXV, 1991,New York Giants ,20–19,Buffalo Bills,Tampa Stadium (2)
XXVI, 1992,Washington Redskins ,37–24,Buffalo Bills,Metrodome
XXVII, 1993,Dallas Cowboys ,52–17,Buffalo Bills,Rose Bowl (5)
XXVIII, 1994,Dallas Cowboys ,30–13,Buffalo Bills,Georgia Dome
XXIX, 1995,San Francisco 49ers ,49–26,San Diego Chargers,Joe Robbie Stadium (2)
XXX, 1996,Dallas Cowboys ,27–17,Pittsburgh Steelers,Sun Devil Stadium
XXXI, 1997,Green Bay Packers ,35–21,New England Patriots,Louisiana Superdome (5)
XXXII, 1998,Denver Broncos ,31–24,Green Bay Packers,Qualcomm Stadium(2)
XXXIII, 1999,Denver Broncos ,34–19,Atlanta Falcons,Pro Player Stadium(3)
XXXIV, 2000,Los Angeles Rams ,23–16,Tennessee Titans,Georgia Dome (2)
XXXV, 2001,Baltimore Ravens ,34–7,New York Giants,Raymond James Stadium
XXXVI, 2002,New England Patriots ,20–17,St. Louis Rams,Louisiana Superdome (6)
XXXVII, 2003,Tampa Bay Buccaneers ,48–21,Oakland Raiders,Qualcomm Stadium (3)
XXXVIII, 2004,New England Patriots ,32–29,Carolina Panthers,Reliant Stadium
XXXIX, 2005,New England Patriots ,24–21,Philadelphia Eagles,Alltel Stadium
XL, 2006,Pittsburgh Steelers ,21–10,Seattle Seahawks,Ford Field
XLI, 2007,Indianapolis Colts ,29–17,Chicago Bears,Dolphin Stadium(4)
XLII, 2008,New York Giants ,17–14,New England Patriots,University of Phoenix Stadium
XLIII, 2009,Pittsburgh Steelers ,27–23,Arizona Cardinals,Raymond James Stadium (2)
XLIV, 2010,New Orleans Saints ,31–17,Indianapolis Colts,Sun Life Stadium(5)
XLV, 2011,Green Bay Packers ,31–25,Pittsburgh Steelers,Cowboys Stadium
XLVI, 2012,New York Giants ,21–17,New England Patriots,Lucas Oil Stadium
XLVII, 2013,Baltimore Ravens ,34–31,San Francisco 49ers,Mercedes-Benz Superdome(7)
XLVIII, 2014,Seattle Seahawks ,43–8,Denver Broncos,MetLife Stadium
XLIX, 2015,New England Patriots ,28–24,Seattle Seahawks,University of Phoenix Stadium (2)
50, 2016,Denver Broncos ,24–10,Carolina Panthers,Levi's Stadium
LI, 2017,New England Patriots ,34–28 OT,Atlanta Falcons,NRG Stadium(2)
LII, 2018,Philadelphia Eagles ,41–33,New England Patriots,U.S. Bank Stadium
